FieldExperimentSite,Ppumila_Population,InvasionHistory_FieldDestinationSite,PpumilaPopulation_HistoryCoexistence_Apetiolata,TotalFluorescence,InitialSeedlingSize_leaves,num_AMFspecies,FaithPhylogeneticDiversity,Paraglomus_brasilianum,Paraglomus_occultum,Acaulospora_cavernata,Acaulospora_longula,Acaulospora_spinosa,Diversispora_epigaea,Diversispora_species2,Claroideoglomus_etunicatum,Claroideoglomus_species,Claroideoglomus_claroideum,Glomus_indicum,Glomus_iranicum,Rhizophagus_clarus,Rhizophagus_irregularis,Rhizophagus_species,Sclerocystis_sinuosa,Septoglomus_africanum
WNF,LA,15.8,31.78,619,4,1,0.09158969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WNF,LA,15.8,31.78,9306,4,5,0.31656365,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
WNF,LA,15.8,31.78,24688,4,7,0.38037939,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1
WNF,LA,15.8,31.78,15375,2,7,0.38037939,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1
WNF,LA,15.8,31.78,25784,4,7,0.38037939,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1
WNF,LA,15.8,31.78,28746,2,12,0.48949218,1,0,1,1,1,1,0,0,0,1,1,1,0,1,1,1,1
WNF,VRO,15.8,0,9688,2,3,0.2945258,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
WNF,VRO,15.8,0,5227,3,3,0.23734135,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
WNF,VRO,15.8,0,13518,2,3,0.23710523,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
WNF,VRO,15.8,0,3716,4,3,0.20667338,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
WNF,VRO,15.8,0,8026,4,4,0.31572878,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
